Open,High,Low,Close,Adj Close,Volume,Price Change
0.709286,0.71,0.660714,0.678571,0.678571,3850000,-0.0307149999999999
0.688571,0.688571,0.560714,0.578571,0.578571,9314200,-0.1100000000000001
0.569286,0.57,0.489286,0.517857,0.517857,9765000,-0.0514289999999999
0.517857,0.531429,0.447143,0.468571,0.468571,8433600,-0.0492859999999999
0.45,0.458571,0.382143,0.412143,0.412143,15724800,-0.037857
0.410714,0.427857,0.390714,0.405,0.405,4531800,-0.0057139999999999
0.41,0.410714,0.347143,0.372857,0.372857,5982200,-0.0371429999999999
0.377857,0.525,0.346429,0.506429,0.506429,13577200,0.128572
0.508571,0.528571,0.446429,0.470714,0.470714,13281800,-0.0378569999999999
0.464286,0.535,0.463571,0.534286,0.534286,5272400,0.07
0.542857,0.585714,0.542143,0.55,0.55,4125800,0.007143
0.529286,0.532857,0.442857,0.459286,0.459286,5800200,-0.07
0.472143,0.585714,0.471429,0.55,0.55,7481600,0.077857
0.585714,0.735714,0.585714,0.682857,0.682857,24904600,0.097143
0.638571,0.664286,0.608571,0.636429,0.636429,9686600,-0.0021419999999999
0.635714,0.643571,0.617857,0.625,0.625,4263000,-0.010714
0.625,0.625,0.585714,0.589286,0.589286,3539200,-0.035714
0.606429,0.606429,0.553571,0.579286,0.579286,2431800,-0.027143
0.58,0.685,0.567857,0.642857,0.642857,6447000,0.062857
0.664286,0.707143,0.65,0.685714,0.685714,5647600,0.021428
0.675,0.678571,0.632857,0.657143,0.657143,2004800,-0.017857
0.663571,0.665714,0.635714,0.641429,0.641429,1423800,-0.0221419999999999
0.636429,0.642857,0.623571,0.640714,0.640714,1659000,0.0042849999999999
0.628571,0.642857,0.607143,0.638571,0.638571,2126600,0.01
0.642857,0.702857,0.639286,0.671429,0.671429,3589600,0.028572
0.672143,0.676429,0.650714,0.651429,0.651429,1045800,-0.020714
0.664286,0.664286,0.612857,0.629286,0.629286,7032200,-0.035
0.632143,0.637857,0.592857,0.592857,0.592857,2585800,-0.039286
0.605,0.612857,0.553571,0.610714,0.610714,4922400,0.0057139999999999
0.607143,0.607143,0.585714,0.600714,0.600714,371000,-0.006429
0.6,0.614286,0.572143,0.577857,0.577857,2191000,-0.022143
0.579286,0.642857,0.555714,0.641429,0.641429,3231200,0.062143
0.642857,0.645,0.618571,0.618571,0.618571,931000,-0.024286
0.642143,0.653571,0.589286,0.65,0.65,2045400,0.007857
0.648571,0.780714,0.625,0.778571,0.778571,10061800,0.13
0.72,0.720714,0.623571,0.664286,0.664286,28194600,-0.0557139999999999
0.674286,0.727857,0.660714,0.717143,0.717143,10085600,0.0428569999999999
0.728571,0.785714,0.717857,0.785714,0.785714,10516800,0.057143
0.757143,0.8,0.752143,0.786429,0.786429,4492600,0.029286
0.792857,0.796429,0.753571,0.792857,0.792857,4771200,0.0
0.771429,0.785714,0.748571,0.749286,0.749286,1771000,-0.022143
0.761429,0.765714,0.743571,0.751429,0.751429,1069600,-0.01
0.75,0.795,0.742857,0.775,0.775,932400,0.025
0.742857,0.796429,0.724286,0.761429,0.761429,2009000,0.018572
0.75,0.789286,0.739286,0.770714,0.770714,1164800,0.020714
0.742857,0.75,0.696429,0.71,0.71,2468200,-0.032857
0.858571,0.864286,0.77,0.785714,0.785714,12632200,-0.0728569999999999
0.785,0.797857,0.737857,0.782143,0.782143,3883600,-0.0028569999999999
0.795714,0.8,0.763571,0.799286,0.799286,4068400,0.003572
0.8,0.872857,0.799286,0.871429,0.871429,3236800,0.0714289999999999
0.854286,0.928571,0.840714,0.897143,0.897143,4895800,0.042857
0.905714,0.914286,0.885714,0.900714,0.900714,2534000,-0.005
0.9,0.914286,0.860714,0.892857,0.892857,1395800,-0.007143
0.898571,0.927857,0.867857,0.913571,0.913571,2098600,0.015
0.914286,0.927143,0.892857,0.906429,0.906429,1680000,-0.007857
0.896429,0.898571,0.763571,0.785,0.785,13378400,-0.111429
0.770714,0.799286,0.758571,0.771429,0.771429,3781400,0.000715
0.764286,0.771429,0.728571,0.764286,0.764286,4384800,0.0
0.739286,0.760714,0.727857,0.732143,0.732143,3311000,-0.007143
0.728571,0.732143,0.699286,0.707143,0.707143,4895800,-0.021428
0.702143,0.714286,0.684286,0.696429,0.696429,2122400,-0.0057139999999999
0.692857,0.708571,0.685714,0.690714,0.690714,4592000,-0.0021429999999998
0.703571,0.714286,0.685714,0.713571,0.713571,5198200,0.01
0.712857,0.8,0.692857,0.786429,0.786429,11369400,0.073572
0.846429,0.9,0.810714,0.817857,0.817857,8397200,-0.028572
0.85,0.85,0.771429,0.772857,0.772857,3248000,-0.0771429999999999
0.785714,0.8,0.762143,0.792857,0.792857,3003000,0.007143
